ADDRESS	KOR	WClass	ОСНОВА	ХВОСТ	GLOSS	TRANS	RUS	ContKOR	Comment
23a 13	예	N	toi	yey	LOC	generation			
23a 13	망니라	P	mang-ho	ni-la	IND-DECL	to die			
23a 13	한고죄	N	han-kwo-cwoy		GEN-INSTR	Han Kao-tsu			
23a 14	포의로	N	phwo-uy	lwo	INSTR	clothes made of cloth			hier 布衣
23a 14	닐어	P	nil	e	CONVERB	to rise			
23a 14	뎨님금의	N	tyey-nim-kum	uy	GEN	emperor monarch			
23a 14	업을	N	ep	ul	ACC				
23a 14	일워								
23a 14									
23a 14	을	N	so-poik	ul	ACC	four hundreds			
23a 15	디내되		ti-nay	twoy	CONC	to last			
23a 15	명뎨	N	myeng-tyey			Ming-ti			
23a 15	예	N	stay	yey	LOC	during the time			
23a 15	이셔	COP	i-s	ye	CV	to be			
23a 15	셔역	N	sye-yek			Western Regions	западный край		hier 西域
23a 15	부텨의	N	pu-thye	uy	GEN	buddha			
23a 15	법이	N	pep	i	NOM	law			
23a 16									
23a 16	비로소	ADV	pi-lwo-swo			for the first time			'was introduced'
23a 16	즁국에	N	cyung-kuk		LOC	China			
23a 16	통야	P	thong-ho	ya		to pass on / to communicate			
23a 16	셰샹을	N	syey-syang	ul		world			
23a 16	혹고	V	hwok-ho	kwo	COORD	??be tempted			
23a 17	셩을	N	poik-syeng	ul	ACC	public			
23a 17	소기니라	P	swo-ki	ni-la		to discard			
23a 17	쵹한과	N	chyok-han	kwa	COMIT	Shu Han			
23a 17	오와	N	wo	wa	COMIT	Wu			
23a 17	위	N	we			Wei			
23a 17	세	N	sey			three			
23a 18	나라히	ADV	na-la	hi		side by side / along			
23a 18	뎡치듸	P	tyeng-chi	n-tuy	CONC	to stand up in tripartite confrontation			"hier. 鼎峙, в файле compared пропущен иероглиф, я думаю, по фонетике там их два - 뎡치솟말례로가다말"
23a 18	져갈랑이		cye-kal-lang	i	NOM	Chu-ko Liang			
23a 19	의를	N	uy	lul	ACC	justice			
23a 19	디퍼	P	tiph	e	CONVERB	to point		짚다	
23a 19	한을	N	han	ul	ACC	Han			
23a 19	븟드다가	P	pus-t	u-ta-ka	SEQ	to pour (to exert)			
23a 19	병	N	pyeng			illness			
23a 19	들어	P	tul	e	CONV	to take			
23a 20	군즁에셔	N	kun-chyung	ey-sye	LOC	in the armed forces			hier 軍中
23a 20	죽으니라	P	cwuk	u-ni-la	IND + DECL	to die			
23a 20	진이	N	cin	i	NOM	Chin			
23a 20	텬하를	N	thyen-ha	lul	ACC	empire	"уст. Китай, китайская империя"		
23a 20	두	N	tu			two			
23a 20	매	N	may-hoi	lol	ACC				
23b 1	나마	N	poik	na-ma		however (?) during hundred			
23b 1	디내되	P	ti-nay	twoy	CONC	to pass		지내다	
23b 1	다	N	ta-sos			five			
23b 1	오랑캐	N	wo-rang-khey			foreign barbarian			匈흉奴노와 鞨갈과 氐뎌와 姜강과 鮮션卑비의 공류
23b 2	즁화를	N	chyung-hwa	lul	ACC	China			즁국
23b 2	어즈러이니	P	e-cu-le-i	ni	IND	to disturb		어지럽히다	
23b 3									
23b 3	송과	N	swong	kwa	COMIT	Sung			
23b 3	졔과	N	cyey	kwa	COMIT	Chi			
23b 3	량과	N	lyang	kwa	COMIT	Liang			
23b 3	진애	N	cin	ay	LOC	Ch'en			
23b 3	남과	N	nam	kwa		South			
23b 3	븍으로	N	puk	u-lwo	INSTR	North			
23b 3		N	non			half			
23b 4??	화기엿더니	P	hwa-scus-ki	yes-te-ni	SHOULD	to divide			
23b 6	능히	N+ADV	syu	i nun-hi	NOM+ADV	Sui easily			
23b 6	혼일호	P	hwon-il-hwo	to-i		to reunite			
23b 6	를	N	hoi	lul	ACC				
23b 6	삼십을	N	sam-sip	ul	ACC	thirty years			
23b 7	디내니라	P	ti-ne	ni-la	IND-DECL	to pass			
23b 7??	당고조와	N	tang-kwo-cwo	wa	COMIT	T'ang Kao-tsu			
23b 7	태종이	N	thay-cwong	i	NOM	T'ai-tsung			
23b 7	슈실의	N	syu-sil	uy	GEN	Sui dynasty			
23b 8	어즈러오믈	N	e-cu-le-wo	m-ul	NOMZ+ACC	troublesome mind			
23b 8	타		tha			other			
23b 8	집을	N	cip	ul	ACC	house			
23b 8	화야	P	hwa-ho	ya	CONVERB	to turn			
23b 8???	나라	N	na-la	hol	ACC	country			
23b 8	그라	P	moing-ku	la	DECL	to make		만들다	
23b 9		P	ho	i					
23b 9	삼을	N	sam-poik	ul	ACC	three hundred			
23b 9	디내니라	P	ti-nay	ni-la	IND-DECL	to pass			
23b 9	후량과	N	hwu-lyeng	kwa	COMIT	Later Liang			
23b 9	후당과	N	hwu-tang	kwa	COMIT	Later Tang			
23b 10	후진과	N	hwu-cin	kwa	COMIT	Later Jin			後秦
23b 10	후한과	N	hwu-han	kwa	COMIT	Later Han			後漢
23b 10	후	N	hwu-cyu	i	NOM	Later Zhou			all = Five Dynasties
23b 10	이	DET	i		DET	this			
23b 10	오계	N	wo-kyey			Five Buddhist Disciplines learned ?			
23b 10	되니	P	twoy	ni	IND	to become			
23b 11	아의	N	a-chom	uy	GEN	morning			
23b 11	어더	P	e-d	e	CONVERB	to get			
23b 11	져녁의	N	cye-nyek	uy	GEN	evening			
23b 11	일틋야	P	il-thus-ho	ya	CONVERB	to forget			
23b 11	크게	ADV	khu	key	ADV	big			
23b 12	어즈러오미	N	e-cu-re-wo	m-i	NOMZ+NOM	disturbance (to disturb)			
23b 12	극니라	P	kuk-ho	ni-la	DECL	to extreme			
23b 12	송태죄	N	swong-thay-cwo	i	NOM	Sung T’ai-tsu			
23b 12	나라	N	na-la						
23b 12	셰온	P	syey	wo+n	Vol+Pind	to establish		세우다	
23b 13	처음애	ADV	che-um	ay	LOC	first / start			
23b 13	다	N	ta-sos			five			
23b 13	별이	N	pyel	i	NOM	star			
23b 13	규셩에	N	kyu-syeng	ey	LOC	constellation			
23b 13	못아	P	mwos	a	CONVERB	all			
23b 14	렴과	N	lyem	kwa	COMIT	Lian a waterfall; a river in Hunan			濂
23b 14	락과	N	lak	kwa	COMIT	"luò, river in Shanxi province; city"			
23b 14	관과	N	kwan	kwa	COMIT	Guan			다디명
23b 14	민애	N	min	ay	LOC	Ming			"кажется, перечисляют кит. Фамилии со смыслом ""все земли"""
23b 14	모	P	mwo-to	n	Pind	every			
23b 14	어친이	ADJ	e-chin	i		virtuous			
23b 15?	무리야	P	my-li-ho	ya	CONVERB	in great amount			
23b 15	나니	P	na	ni	IND	to arise			
23b 15	쥬돈이와	N	cwu-twon-i	wa	COMIT	Chou Tun-i			
23b 15	졍호와	N	cyeng-hwo	wa	COMIT	Ch’eng Hao			
23b 15	졍이와	N	wyeng-i	wa	COMIT	Ch’eng I			
23b 16	마광과	N	so-na-kwang	kwa	COMIT	Szuma Kuang			
23b 16	쟝와	N	cyang-coi	wa	COMIT	Chang Tsai			
23b 16	쇼옹과	N	syu-wong	kwa	COMIT	Shao Yung			
23b 16	쥬희	N	cwu-h	uy	GEN	Chu His			
23b 16		ADJ				same (everyone)			
23b 17	이	DET	i		DET	this			
23b 17	서르	N	se-lu			each			
23b 17	니어	N	ni-e			manner			
23b 17	니러나	P	na-le	na	ADV(S)	to stand up			
23b 17	이	DET	i			this			
23b 17	도를	N	two	lul	ACC	"doctrine, path"			
23b 17	열어	P	yel	e	CONVERB	to explain			
23b 18	키	ADV	polk-k	hi	ADV	clearly			
23b 18	모로	N	mwo	lwo-pse	INSTR	reason			
23b 18	몸의	N	mwom	uy	GEN	soul			
23b 18	소임을	N	swo-im	ul	ACC	duty			
23b 18	삼으되	P	sam	u-twoy	CONC	~to be followed (to apprentice)			
23b 18	몸이	N	mwom	i	NOM	body			
23b 19		P	stwo-ho	n	Pind	universal			
23b 19	용납믈	N	yong-nap-ho	m-ul	NOMZ-ACC	acceptance			
23b 19	보디	P	pwo	ti	NEG	to get			
23b 19	못고	P	mwos-ho	kwo	COORD	be able to			
23b 19	쥬	N	cyu-co	i	NOM	Chu-tzu			
23b 19	모	P	mwo-to	n	Pind	every			
23b 20	집의	N	cip	uy	GEN	home			
23b 20	말을	N	mal	ul	ACC	saying			
23b 20	모도샤	P	mwo-two	sya	HONSub-CONVERB	to collect			
23b 20	셔과	N	so-sye	kwa	COMIT	Four Books			
24a 1	오경을	N	wo-kyeng	ul	ACC	Five Classics			
24a 2	주내시니	P	cu-nay	si-ni	HON-IND	to comment			
24a 2	그	DET	ku			this			
24a 2	학쟈의게	N	hak-cya	uy-key	DAT	scholars			
24a 2	공이	N	kwong	i	NOM	"usefulness, merit"			
24a 2	이시미	P	i	si-m-i	HON-NOMZ-NOM	to be			
24a 3	크도다	P	khwo-two	ta	DECL	to be big			
24a 3	그러되	P	ku-le-ho	twoy	CONC	but			
24a 3	나랏	N	na-la	s	NOMZ	dynasty			
24a 3	형셰	N	hyeng-syey			power			
24a 3	강티	P	kang	thi	NEG	to oppose			
24a 3	못야	P	mwos-ho	ya	CONVERB	to be not possible			
24a 4									
24a 4	를	N	hoi	lul					
24a 4	삼을	N	sam-poik	ul	ACC	three hundred			
24a 4	디내니	P	ti-nay	ni	IND	to pass			
24a 4	글란과	N	kul-lan	kwa	COMIT	Khitan			
24a 4	몽고와	N	mwong-kwo	wa	COMIT	Mongols			
24a 5	료와	N	lyu	wa	COMIT	Liao			
24a 5	금이	N	kum	i	NOM	Kin Tatars			
24a 5	마들어	P	kol-ma-tul	e	CONVERB	to be all			?서르 in C 'each'
24a 5	침딜더니	P	chim-til-ho	te-ni	PARA	to enroach	внезапно вторгнуться		침노야츙돌타말
24a 6	그	DET	ku		DET	this			
24a 6	거의	N	ke	uy	GEN	thing			
24a 6	망키를	N	mang-khi	lul	ACC	to die (fail)			
24a 6	미처	P	mi-ch	e	CONVERB	near to (about to)			
24a 6	문텬샹이	N	mwun-thyen-syang	i	NOM	Wen T’ien-siang			
24a 6	츙셩을	N	chyung-syeng	ul	ACC	allegiance			
24a 7	갈진히	ADV	kal-cin	hi	ADV	to exhaust / by every possible means			
24a 7	야	P	ho	ya	CONVERB	to do			
24a 7	송을	N	swong	ul	ACC	Sung			
24a 7	갑다가	P	kap	ta-ka	SEQ	to regain			
24a 7	내	ADV	mo-chom-n	ey	ADV	eventually			
